user_id,product_id,product_name,category,price,rating,review_text,review_language,sentiment
user_0001,GamingMouse_GT_A_eb1b9c37,GamingMouse GT,Kitchen,286.67,4.8,"Great value for money, sturdy build and fast.",english,positive
user_0001,GamingMouse_GT_B_ed2068fd,GamingMouse GT,Kitchen,262.69,3.5,"Average cheez hai, price ke hisaab se sahi.",roman_urdu,neutral
user_0001,GamingMouse_GT_C_2be3cd71,GamingMouse GT,Kitchen,226.05,1.8,"Recommend nahi karunga, bohat maslay aaye.",roman_urdu,negative
user_0001,HDWebcam_Vision_5e158266,HDWebcam Vision,Electronics,232.99,4.1,"Okay product, acceptable for the price.",english,neutral
user_0001,RGBKeyboard_Blaze_739af198,RGBKeyboard Blaze,Gaming,268.52,3.2,"Okay product, acceptable for the price.",english,neutral
user_0001,SmartScale_Fit_e45d608f,SmartScale Fit,Wearables,45.57,4.5,"Great product, works perfectly!",english,positive
user_0001,ChefKnife_Pro_92495d14,ChefKnife Pro,Kitchen,21.93,4.4,"Great product, works perfectly!",english,positive
user_0001,ChefKnife_Pro_4e8d0107,ChefKnife Pro,Kitchen,18.44,3.3,"Decent performance, some minor flaws.",english,neutral
user_0001,MiniTripod_Flex_067fe00d,MiniTripod Flex,Accessories,190.59,4.5,"Great product, works perfectly!",english,positive
user_0001,SmartScale_Fit_48a8a757,SmartScale Fit,Wearables,54.46,2.7,"Quality kamzor, maslay aaye.",roman_urdu,negative
user_0002,HyperLaptop_Pro_A_6ce12a4f,HyperLaptop Pro,Electronics,108.71,4.6,"Great value for money, sturdy build and fast.",english,positive
user_0002,HyperLaptop_Pro_B_a10a3b33,HyperLaptop Pro,Electronics,108.11,3.2,"Decent, works fine but could be better.",english,neutral
user_0002,HyperLaptop_Pro_C_c355f016,HyperLaptop Pro,Electronics,90.21,2.3,"Recommend nahi karunga, bohat maslay aaye.",roman_urdu,negative
user_0002,RGBKeyboard_Blaze_3e036230,RGBKeyboard Blaze,Gaming,233.92,4.6,"Great product, works perfectly!",english,positive
user_0002,HDWebcam_Vision_404fc7ec,HDWebcam Vision,Electronics,254.81,3.4,"Average cheez, zyada khaas nahi.",roman_urdu,neutral
user_0002,HDWebcam_Vision_97e782dd,HDWebcam Vision,Electronics,254.78,3.6,"Average quality, nothing special.",english,neutral
user_0002,ChefKnife_Pro_5ad71c5a,ChefKnife Pro,Kitchen,20.39,3.6,"Theek hai, price ke hisaab se sahi.",roman_urdu,neutral
